ROS001|CNS001|2024-03-10|08:00|12:00
ROS002|CNS002|2024-05-15|09:00|13:00
ROS003|CNS003|2024-11-20|13:00|16:00
ROS004|CNS001|2025-02-14|15:00|18:00
ROS005|CNS003|2025-06-25|08:00|11:00
ROS006|CNS002|2025-09-10|10:00|13:00
ROS007|CNS003|2026-01-15|08:00|12:00
ROS008|CNS001|2026-04-20|10:00|13:00
ROS009|CNS002|2026-07-05|09:00|13:00
ROS010|CNS004|2026-08-15|09:00|12:00
ROS011|CNS005|2026-08-15|10:00|14:00
ROS012|CNS004|2026-08-16|13:00|16:00
ROS013|CNS005|2026-08-17|08:00|12:00
ROS014|CNS001|2024-04-05|08:00|12:00
ROS015|CNS002|2025-01-20|10:00|14:00
ROS016|CNS003|2025-08-11|13:00|17:00
ROS017|CNS004|2026-02-28|09:00|12:00
ROS018|CNS005|2026-05-10|13:00|16:00
ROS019|CNS001|2026-09-01|08:00|12:00
